"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,621,228,613,420","0.55%","26.61","6.93","37.20"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$2,213,224,906,874","0.80%","31.64","11.97","14.08"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,817,567,105,246","0.00%","11.36","7.05","3.43"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,817,567,105,246","0.00%","10.77","7.05","3.25"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,600,203,723,680","0.00%","49.19","3.41","11.87"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$875,317,245,003","0.00%","164.75","16.26","30.12"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$762,874,695,139","0.00%","4.91","2.15","0.87"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$619,150,000,000","0.06%","67.81","23.00","24.85"
"FB","Facebook Inc Class A","Common stocks","Large cap","Communication Services","$593,175,386,604","0.00%","12.70","5.03","4.00"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$477,054,685,005","1.14%","27.55","1.67","6.64"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$470,443,800,000","0.65%","27.93","18.47","10.04"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$464,854,610,334","2.38%","22.02","4.96","6.21"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$413,836,177,146","2.69%","8.90","3.40","1.41"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$402,240,115,195","1.52%","29.51","0.70","4.85"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$363,548,760,848","2.30%","25.04","4.64","8.14"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$351,240,289,576","2.02%","21.65","2.32","-209.80"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$347,030,704,196","1.87%","11.32","3.89","1.28"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$335,953,072,390","0.52%","39.08","17.79","45.98"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$334,369,130,042","4.35%","14.46","1.21","1.98"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$312,465,458,832","3.33%","20.16","2.01","2.26"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$305,010,312,587","2.86%","13.95","3.74","3.96"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$280,506,669,741","3.29%","24.40","4.99","18.28"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$271,904,627,944","1.23%","49.08","9.60","30.51"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$260,489,844,743","2.80%","26.66","6.74","11.33"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$253,923,741,414","0.00%","82.88","3.48","2.84"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$246,058,812,724","3.04%","33.09","8.63","10.85"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$245,009,955,269","0.57%","45.13","1.17","12.46"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$233,339,616,560","2.61%","19.66","4.53","5.89"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$223,859,490,383","0.19%","29.83","5.71","5.65"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$222,524,164,646","2.65%","29.55","2.80","13.94"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$219,798,046,942","5.98%","9.66","1.65","2.61"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$215,053,454,200","1.58%","28.82","5.14","-25.06"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$213,734,050,760","1.49%","30.54","4.96","6.03"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$210,337,322,891","1.15%","33.37","3.71","10.08"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$210,265,570,956","2.14%","14.99","1.81","2.21"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$209,893,769,938","0.00%","44.41","13.30","14.47"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$208,305,900,000","0.00%","150.01","7.86","3.73"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$201,300,217,700","0.30%","33.34","6.83","4.63"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$200,012,042,339","0.91%","33.64","4.32","13.91"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$199,398,014,308","3.35%","15.31","3.98","5.22"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$195,705,781,488","1.45%","9.65","2.51","1.04"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$192,173,408,000","2.04%","12.49","1.98","11.30"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$191,954,080,000","2.95%","9.73","2.43","2.03"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$176,579,062,983","2.23%","23.55","7.60","-38.61"
